1 : 1 
0 0 12 12
4 0 12 12
8 0 12 12
12 0 12 12
16 0 12 12
20 0 12 12
24 0 12 12
28 0 12 12
0 4 12 12
4 4 12 12
8 4 12 12
12 4 12 12
16 4 12 12
20 4 12 12
24 4 12 12
28 4 12 12
0 8 12 12
4 8 12 12
8 8 12 12
12 8 12 12
16 8 12 12
20 8 12 12
24 8 12 12
28 8 12 12
0 12 12 12
4 12 12 12
8 12 12 12
12 12 12 12
16 12 12 12
20 12 12 12
24 12 12 12
28 12 12 12
0 16 12 12
4 16 12 12
8 16 12 12
12 16 12 12
16 16 12 12
20 16 12 12
24 16 12 12
28 16 12 12
0 20 12 12
4 20 12 12
8 20 12 12
12 20 12 12
16 20 12 12
20 20 12 12
24 20 12 12
28 20 12 12
0 24 12 12
4 24 12 12
8 24 12 12
12 24 12 12
16 24 12 12
20 24 12 12
24 24 12 12
28 24 12 12
0 28 12 12
4 28 12 12
8 28 12 12
12 28 12 12
16 28 12 12
20 28 12 12
24 28 12 12
28 28 12 12
0 0 20 20
4 0 20 20
8 0 20 20
12 0 20 20
16 0 20 20
20 0 20 20
0 4 20 20
4 4 20 20
8 4 20 20
12 4 20 20
16 4 20 20
20 4 20 20
0 8 20 20
4 8 20 20
8 8 20 20
12 8 20 20
16 8 20 20
20 8 20 20
0 12 20 20
4 12 20 20
8 12 20 20
12 12 20 20
16 12 20 20
20 12 20 20
0 16 20 20
4 16 20 20
8 16 20 20
12 16 20 20
16 16 20 20
20 16 20 20
0 20 20 20
4 20 20 20
8 20 20 20
12 20 20 20
16 20 20 20
20 20 20 20
0 0 28 28
4 0 28 28
8 0 28 28
12 0 28 28
0 4 28 28
4 4 28 28
8 4 28 28
12 4 28 28
0 8 28 28
4 8 28 28
8 8 28 28
12 8 28 28
0 12 28 28
4 12 28 28
8 12 28 28
12 12 28 28
0 0 36 36
4 0 36 36
0 4 36 36
4 4 36 36
1 : 2 
0 0 24 12
4 0 24 12
8 0 24 12
12 0 24 12
16 0 24 12
0 4 24 12
4 4 24 12
8 4 24 12
12 4 24 12
16 4 24 12
0 8 24 12
4 8 24 12
8 8 24 12
12 8 24 12
16 8 24 12
0 12 24 12
4 12 24 12
8 12 24 12
12 12 24 12
16 12 24 12
0 16 24 12
4 16 24 12
8 16 24 12
12 16 24 12
16 16 24 12
0 20 24 12
4 20 24 12
8 20 24 12
12 20 24 12
16 20 24 12
0 24 24 12
4 24 24 12
8 24 24 12
12 24 24 12
16 24 24 12
0 28 24 12
4 28 24 12
8 28 24 12
12 28 24 12
16 28 24 12
0 0 32 16
4 0 32 16
8 0 32 16
0 4 32 16
4 4 32 16
8 4 32 16
0 8 32 16
4 8 32 16
8 8 32 16
0 12 32 16
4 12 32 16
8 12 32 16
0 16 32 16
4 16 32 16
8 16 32 16
0 20 32 16
4 20 32 16
8 20 32 16
0 24 32 16
4 24 32 16
8 24 32 16
0 0 40 20
0 4 40 20
0 8 40 20
0 12 40 20
0 16 40 20
0 20 40 20
2 : 1 
0 0 12 24
4 0 12 24
8 0 12 24
12 0 12 24
16 0 12 24
20 0 12 24
24 0 12 24
28 0 12 24
0 4 12 24
