stage: 1
0 0 0.553477
0 0.000113973 0.550017
0 0.000227946 0.549799
0 0.000341919 0.548848
0 0.000455892 0.548727
0 0.000569866 0.548626
0 0.000683839 0.548116
0 0.000797812 0.548044
0 0.000911785 0.547743
0 0.00102576 0.547591
0 0.00113973 0.547522
0 0.0012537 0.547481
0 0.00136768 0.547453
0 0.00148165 0.547353
0 0.00159562 0.547315
0 0.0017096 0.5472
0 0.00182357 0.547142
0 0.00193754 0.547029
0 0.00205152 0.546916
0 0.00216549 0.546654
0 0.00227946 0.546464
0 0.00239344 0.546099
0 0.00250741 0.545861
0 0.00262138 0.545825
0 0.00273535 0.545738
0 0.00284933 0.545696
0 0.0029633 0.54564
0 0.00307727 0.545639
0 0.00319125 0.545619
0 0.00330522 0.545578
0 0.00341919 0.545396
0 0.00353317 0.545376
0 0.00364714 0.545227
0 0.00376111 0.545106
0 0.00387509 0.545078
0 0.00398906 0.545054
0 0.00410303 0.545042
0 0.004217 0.545016
0 0.00433098 0.545002
0 0.00444495 0.544975
0 0.00455892 0.544952
0 0.0046729 0.544934
0 0.00478687 0.544881
0 0.00490084 0.544857
0 0.00501482 0.544845
0 0.00512879 0.544844
0 0.00524276 0.544824
0 0.00535674 0.544737
0 0.00547071 0.544718
0 0.00558468 0.544698
0 0.00569866 0.544688
0 0.00581263 0.544642
0 0.0059266 0.544609
0 0.00604057 0.544597
0 0.00615455 0.544597
0 0.00626852 0.544504
0 0.00638249 0.544504
0 0.00649647 0.544495
0 0.00661044 0.544436
0 0.00672441 0.544381
0 0.00683839 0.544316
0 0.00695236 0.544315
0 0.00706633 0.544314
0 0.00718031 0.54431
0 0.00729428 0.544305
0 0.00740825 0.544251
0 0.00752222 0.54424
0 0.0076362 0.544219
0 0.00775017 0.544191
0 0.00786414 0.544119
0 0.00797812 0.544096
0 0.00809209 0.544094
0 0.00820606 0.544043
0 0.00832004 0.544021
0 0.00843401 0.544011
0 0.00854798 0.543989
0 0.00866196 0.543971
0 0.00877593 0.543967
0 0.0088899 0.543898
0 0.00900388 0.543864
0 0.00911785 0.543854
0 0.00923182 0.543852
0 0.00934579 0.543848
0 0.00945977 0.543783
0 0.00957374 0.54378
0 0.00968771 0.543711
0 0.00980169 0.543656
0 0.00991566 0.543638
0 0.0100296 0.543605
0 0.0101436 0.543604
0 0.0102576 0.543602
0 0.0103716 0.543596
0 0.0104855 0.54357
0 0.0105995 0.543516
0 0.0107135 0.543512
0 0.0108274 0.543501
0 0.0109414 0.543495
0 0.0110554 0.543491
0 0.0111694 0.543449
0 0.0112833 0.543433
0 0.0113973 0.543361
0 0.0115113 0.54336
0 0.0116253 0.543353
0 0.0117392 0.543344
0 0.0118532 0.543328
0 0.0119672 0.543322
0 0.0120811 0.543313
0 0.0121951 0.543297
0 0.0123091 0.543262
0 0.0124231 0.543249
0 0.012537 0.543248
0 0.012651 0.543245
0 0.012765 0.543237
0 0.012879 0.54321
0 0.0129929 0.543201
0 0.0131069 0.543185
0 0.0132209 0.543181
0 0.0133349 0.543156
0 0.0134488 0.543148
0 0.0135628 0.543133
0 0.0136768 0.543105
0 0.0137907 0.543101
0 0.0139047 0.5431
0 0.0140187 0.543094
0 0.0141327 0.543073
0 0.0142466 0.543059
0 0.0143606 0.543043
0 0.0144746 0.543032
0 0.0145886 0.54303
0 0.0147025 0.543023
0 0.0148165 0.543008
0 0.0149305 0.543007
0 0.0150444 0.542959
0 0.0151584 0.542945
0 0.0152724 0.542923
0 0.0153864 0.542917
0 0.0155003 0.542904
0 0.0156143 0.542904
0 0.0157283 0.5429
0 0.0158423 0.542899
0 0.0159562 0.542872
0 0.0160702 0.542872
0 0.0161842 0.542852
0 0.0162982 0.542806
0 0.0164121 0.5428
0 0.0165261 0.542774
0 0.0166401 0.542771
0 0.016754 0.54277
0 0.016868 0.542768
0 0.016982 0.542755
0 0.017096 0.542754
0 0.0172099 0.542743
0 0.0173239 0.542733
0 0.0174379 0.542729
0 0.0175519 0.5427
0 0.0176658 0.542693
0 0.0177798 0.542683
0 0.0178938 0.542675
0 0.0180078 0.542659
0 0.0181217 0.542631
0 0.0182357 0.542599
0 0.0183497 0.542587
0 0.0184636 0.542544
0 0.0185776 0.542498
0 0.0186916 0.542469
0 0.0188056 0.542467
0 0.0189195 0.54246
0 0.0190335 0.542452
0 0.0191475 0.542443
0 0.0192615 0.542423
0 0.0193754 0.542419
0 0.0194894 0.542395
0 0.0196034 0.542388
0 0.0197173 0.542382
0 0.0198313 0.542377
0 0.0199453 0.542353
0 0.0200593 0.542346
0 0.0201732 0.542339
0 0.0202872 0.542337
0 0.0204012 0.54233
0 0.0205152 0.542314
0 0.0206291 0.542313
0 0.0207431 0.54231
0 0.0208571 0.542287
0 0.0209711 0.542274
0 0.021085 0.542242
0 0.021199 0.54224
0 0.021313 0.542228
0 0.0214269 0.542213
0 0.0215409 0.5422
0 0.0216549 0.542177
0 0.0217689 0.542177
0 0.0218828 0.542162
0 0.0219968 0.54215
0 0.0221108 0.542135
0 0.0222248 0.542131
0 0.0223387 0.542102
0 0.0224527 0.5421
0 0.0225667 0.542085
0 0.0226806 0.542048
0 0.0227946 0.542022
0 0.0229086 0.542018
0 0.0230226 0.542016
0 0.0231365 0.541995
0 0.0232505 0.541995
0 0.0233645 0.541991
0 0.0234785 0.541945
0 0.0235924 0.541921
0 0.0237064 0.541913
0 0.0238204 0.541909
0 0.0239344 0.541902
0 0.0240483 0.541901
0 0.0241623 0.541896
0 0.0242763 0.541894
0 0.0243902 0.541889
0 0.0245042 0.541886
0 0.0246182 0.54188
0 0.0247322 0.541854
0 0.0248461 0.54184
0 0.0249601 0.541817
0 0.0250741 0.541785
0 0.0251881 0.541784
0 0.025302 0.541783
0 0.025416 0.541775
0 0.02553 0.54176
0 0.0256439 0.541759
0 0.0257579 0.541753
0 0.0258719 0.541743
0 0.0259859 0.541741
0 0.0260998 0.541737
0 0.0262138 0.541716
0 0.0263278 0.541712
0 0.0264418 0.541697
0 0.0265557 0.541692
0 0.0266697 0.54169
0 0.0267837 0.54168
0 0.0268977 0.541651
0 0.0270116 0.541649
0 0.0271256 0.541614
0 0.0272396 0.54161
0 0.0273535 0.541595
0 0.0274675 0.541595
0 0.0275815 0.541571
0 0.0276955 0.541563
0 0.0278094 0.541544
0 0.0279234 0.541543
0 0.0280374 0.541525
0 0.0281514 0.541524
0 0.0282653 0.541524
0 0.0283793 0.541521
0 0.0284933 0.541517
0 0.0286072 0.541512
0 0.0287212 0.541501
0 0.0288352 0.541469
0 0.0289492 0.541449
0 0.0290631 0.541448
0 0.0291771 0.541434
0 0.0292911 0.541419
0 0.0294051 0.541413
0 0.029519 0.541388
0 0.029633 0.54138
0 0.029747 0.541358
0 0.029861 0.541347
0 0.0299749 0.541337
0 0.0300889 0.541328
0 0.0302029 0.541325
0 0.0303168 0.541322
0 0.0304308 0.541313
0 0.0305448 0.541291
0 0.0306588 0.541275
0 0.0307727 0.541273
0 0.0308867 0.541266
0 0.0310007 0.541258
0 0.0311147 0.541255
0 0.0312286 0.541254
0 0.0313426 0.541228
0 0.0314566 0.541216
0 0.0315705 0.541202
0 0.0316845 0.541181
0 0.0317985 0.54118
0 0.0319125 0.541172
0 0.0320264 0.541159
0 0.0321404 0.541159
0 0.0322544 0.541156
0 0.0323684 0.541119
